stadium_id,stadium_name,stadium_country_id
5043,Reale Arena,214
355,Estadio Municipal de Butarque,214
342,Spotify Camp Nou,214
4654,	Estádio Cívitas Metropolitano,214
351,RCDE Stadium,214
349,Estadio Ramón Sánchez Pizjuán,214
354,Coliseum Alfonso Pérez,214
352,Estadio Benito Villamarín,214
345,San Mamés Barria,214
343,Estadi Municipal de Montilivi,214
348,Estadio de Mendizorroza,214
347,Estadio Municipal de Ipurúa,214
350,Estadio Ciudad de Valencia,214
361,Estadio de la Cerámica,214
344,Estadio de Mestalla,214
353,Estadio Santiago Bernabéu,214
622,Estadio Municipal José Zorrilla,214
653,Abanca-Balaídos,214
4454,Estadi Mallorca Son Moix,214
4667,Estadio Nuevo Los Cármenes,214
4650,Estadio El Sadar,214
5341,Estadio Alfredo Di Stéfano,214
624,Estadio El Alcoraz,214
4662,Estadio Nuevo Mirandilla,214
217,Molineux Stadium,68
1000243,Highbury Stadium,68
214,Riverside Stadium ,68
213,Elland Road ,68
6,Anfield ,68
22,Ewood Park ,68
211,Villa Park,68
2,Old Trafford,68
4715,Etihad Stadium,68
10,Stamford Bridge,68
99148,White Hart Lane,68
4591,St. Mary''s Stadium,68
4500,St. Andrews Stadium,68
4843,University of Bolton Stadium,68
4844,Loftus Road,68
31,The Valley,68
4674,St. James'' Park,68
